quantity,lat,lon,datetime,stationID,cruiseID,uniqueID,depth,value,units,uncertainty,uncertainty_type,flags,reference,year,month,day,basin,water_mass
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,2400.0,0.8757431506849315,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,2500.0,0.9146416666666666,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,2600.0,0.9214749999999999,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,2700.0,0.9283083333333333,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,2800.0,0.95248125,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,2900.0,1.00885625,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,3000.0,1.039582474226804,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,3100.0,1.0226752577319587,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,3200.0,1.0057680412371133,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,3300.0,0.9888608247422679,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,3400.0,0.9719536082474226,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,3500.0,0.9469343434343434,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,3600.0,0.9138030303030302,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,3700.0,0.8806717171717171,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,3800.0,0.847540404040404,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,3900.0,0.8144090909090909,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,4000.0,0.7995,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,4100.0,0.7995,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,4200.0,0.7995,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,4300.0,0.7995,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,4400.0,0.7995,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,4500.0,0.7995,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,100.0,0.185935,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
