Year,w_wf - Other Metals Production,w_ws - Other Metals Production,w_wa - Other Metals Production,w_wf - Gold and Silver Production,w_ws - Gold and Silver Production,w_wa - Gold and Silver Production,w_wf - Fossil-Fuel Combustion,w_ws - Fossil-Fuel Combustion,w_wa - Fossil-Fuel Combustion,w_wf - Mercury Production,w_ws - Mercury Production,w_wa - Mercury Production,w_wf - Mercury Use,w_ws - Mercury Use,w_wa - Mercury Use
2170,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2180,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2190,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2200,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2210,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2220,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2230,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2240,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2250,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2260,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2270,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2280,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2290,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2300,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
