Year,Air - Americas - Other Metals Production,Air - Americas - Gold and Silver Production,Air - Americas - Fossil-Fuel Combustion,Air - Americas - Mercury Production and Use,Air - Africa and Middle East - Other Metals Production,Air - Africa and Middle East - Gold and Silver Production,Air - Africa and Middle East - Fossil-Fuel Combustion,Air - Africa and Middle East - Mercury Production and Use,Air - Asia and Oceania - Other Metals Production,Air - Asia and Oceania - Gold and Silver Production,Air - Asia and Oceania - Fossil-Fuel Combustion,Air - Asia and Oceania - Mercury Production and Use,Air - Europe and Former USSR - Other Metals Production,Air - Europe and Former USSR - Gold and Silver Production,Air - Europe and Former USSR - Fossil-Fuel Combustion,Air - Europe and Former USSR - Mercury Production and Use,LW - Americas - Other Metals Production,LW - Americas - Gold and Silver Production,LW - Americas - Fossil-Fuel Combustion,LW - Americas - Mercury Production and Use,LW - Africa and Middle East - Other Metals Production,LW - Africa and Middle East - Gold and Silver Production,LW - Africa and Middle East - Fossil-Fuel Combustion,LW - Africa and Middle East - Mercury Production and Use,LW - Asia and Oceania - Other Metals Production,LW - Asia and Oceania - Gold and Silver Production,LW - Asia and Oceania - Fossil-Fuel Combustion,LW - Asia and Oceania - Mercury Production and Use,LW - Europe and Former USSR - Other Metals Production,LW - Europe and Former USSR - Gold and Silver Production,LW - Europe and Former USSR - Fossil-Fuel Combustion,LW - Europe and Former USSR - Mercury Production and Use
1590.0,0.0198098315276852,19.116271647142863,0.0,37.53280626464344,0.0,1.3361712,0.0,0.0,0.0147631578947368,8.0057781,0.0,0.0,0.06432,15.885263626785726,0.0032024986161097,28.93045970308521,0.0004250109309576,482.0189864707143,0.0,131.36482192625203,0.0,2.0042568000000003,0.0,0.0,0.0003167368421052,12.00866715,0.0,0.0,0.0009832631578947,23.827895440178587,0.0004771722938003,101.25660896079825
1600.0,0.0213925224990238,21.5142972,0.0,39.71914128,0.0,1.3185900000000004,0.0,0.0,0.0159210526315789,9.25236032727273,0.0,0.0,0.0713999999999999,12.174697941666675,0.0043047425585252,29.320381999999984,0.0004589668463426,547.9468906,0.0,139.01699448,0.0,1.9778850000000008,0.0,0.0,0.0003415789473684,13.878540490909094,0.0,0.0,0.0010884210526315,18.26204691250001,0.0006414066412202,102.62133699999994
1610.0,0.0231016613256739,21.176667984,0.0,40.32083262159104,0.0,1.2490643454545456,0.0,0.0,0.017078947368421,10.498942554545458,0.0,0.0,0.07848,8.464132256547623,0.0057863595637361,35.77702571627891,0.0004956356429871,541.542765656,0.0,141.12291417556864,0.0,1.8735965181818184,0.0,0.0,0.0003664210526315,15.748413831818189,0.0,0.0,0.0011935789473684,12.696198384821434,0.0008621675749966,125.21959000697618
1620.0,0.0249473504599792,20.172321648,0.0,40.93163877430029,0.0,1.179538690909091,0.0,0.0,0.0182368421052631,11.745524781818188,0.0,0.0,0.08556,4.753566571428571,0.007777923196483,43.65548747295592,0.000535234064414,511.655382152,0.0,143.26073571005102,0.0,1.7693080363636366,0.0,0.0,0.0003912631578947,17.618287172727282,0.0,0.0,0.0012987368421052,7.130349857142857,0.0011589105562759,152.7942061553457
1630.0,0.0269404994817994,19.418454672,0.0,41.55169781520482,0.0,1.1100130363636362,0.0,0.0,0.0193947368421052,12.99210700909092,0.0,0.0,0.0926399999999999,4.940573407142857,0.0104549481559225,53.26886593689794,0.0005779961707004,490.590438328,0.0,145.43094235321686,0.0,1.6650195545454545,0.0,0.0,0.0004161052631578,19.48816051363638,0.0,0.0,0.0014038947368421,7.410860110714285,0.0015577872752324,186.4410307791428
1640.0,0.0290928895833309,18.414108336,0.0,42.18114991306285,0.0,1.040487381818182,0.0,0.0,0.0205526315789473,14.238689236363644,0.0,0.0,0.0997199999999999,5.127580242857142,0.0140533582270977,64.99920725798901,0.0006241747219696,460.7030548240001,0.0,147.63402469571997,0.0,1.5607310727272727,0.0,0.0,0.000440947368421,21.358033854545468,0.0,0.0,0.0015090526315789,7.691370364285714,0.0020939503758375,227.49722540296156
1650.0,0.0314172432058914,17.663188176,0.0,42.82013736,0.0,0.9709617272727272,0.0,0.0,0.0217105263157894,15.485271463636376,0.0,0.0,0.1067999999999999,5.314587078571428,0.0188902780304325,69.60954000000001,0.0006740426724173,439.741904408,0.0,149.87048076000002,0.0,1.4564425909090906,0.0,0.0,0.0004657894736842,23.227907195454563,0.0,0.0,0.0016142105263157,7.971880617857142,0.0028146514265344,243.63339
1660.0,0.0339272992402814,16.65884184,0.0,42.745099033027664,0.0,0.9014360727272724,0.0,0.0,0.0228684210526315,16.731853690909105,0.0,0.0,0.11388,5.5015939142857135,0.0253919809273043,56.37200438851206,0.0007278947837005,409.854520904,0.0,149.60784661559683,0.0,1.3521541090909084,0.0,0.0,0.0004906315789473,25.097780536363658,0.0,0.0,0.0017193684210526,8.25239087142857,0.0037834051581683,197.30201535979225
1670.0,0.0366378942352188,15.901659696,0.0,42.67019220377725,0.0,0.8319104181818178,0.0,0.0,0.0240263157894736,17.978435918181834,0.0,0.0,0.1209599999999999,5.68860075,0.0341314561052983,47.07844957372578,0.0007860493672283,388.67280949600007,0.0,149.34567271322038,0.0,1.2478656272727269,0.0,0.0,0.0005154736842105,26.967653877272756,0.0,0.0,0.0018245263157894,8.532901125,0.0050855869596894,164.77457350804022
1680.0,0.039565050093859,14.897313360000002,0.0,42.59541664181116,0.0,0.76214502,0.0,0.0,0.0251842105263157,19.225018145454563,0.0,0.0,0.12804,5.875941499999999,0.0458789055963418,39.31704111478273,0.00084885016565,358.785425992,0.0,149.08395824633905,0.0,1.1432175299999998,0.0,0.0,0.0005403157894736,28.837527218181844,0.0,0.0,0.0019296842105263,8.81391225,0.0068359569338549,137.60964390173956
1690.0,0.0427260687767588,14.306207068,0.0,42.52077211709563,0.0,0.7459922925,0.0,0.0,0.0263421052631578,20.47160037272729,0.0,0.0,0.13512,6.063282249999999,0.0616696214841913,32.83518756497526,0.000916668384665,339.331004474,0.0,148.8227024098347,0.0,1.11898843875,0.0,0.0,0.0005651578947368,30.70740055909093,0.0,0.0,0.0020348421052631,9.094923375,0.0091887736011445,114.9231564774134
1700.0,0.0274999999999999,13.407862627999998,0.0,42.44625840000001,0.0,0.729839565,0.0,0.0,0.0274999999999999,21.71818260000002,0.0,0.0,0.1422,6.250622999999999,0.0828952252580908,27.421940000000014,0.0005899999999999,309.602623814,0.0,148.56190440000003,0.0,1.0947593475,0.0,0.0,0.0005899999999999,32.57727390000003,0.0,0.0,0.0021399999999999,9.375934499999998,0.0123513885634555,95.97679000000004
1710.0,0.0315799999999999,16.811707935999998,0.0,38.98261503231206,0.0,0.7136868375000001,0.0,0.0,0.03284,0.7887231,0.0,0.0,0.2454854545454544,8.13158822,0.1114263101542,36.91841732305426,0.0006775345454545,395.467521472,0.0,136.4391526130922,0.0,1.07053025625,0.0,0.0,0.0007045672727272,1.1830846499999998,0.0,0.0,0.0034419527272727,12.197382330000002,0.0166025202129758,129.2144606306899
1720.0,0.03566,18.30361105555556,0.0,35.801607303918274,0.0,0.69753411,0.0,0.0,0.03818,0.7887231,0.0,0.0,0.3487709090909089,10.107990439999998,0.1497772948432654,49.703614610752894,0.000765069090909,413.5986599913334,0.0,125.30562556371396,0.0,1.046301165,0.0,0.0,0.0008191345454545,1.1830846499999998,0.0,0.0,0.0047439054545454,15.161985659999996,0.0223168169316465,173.9626511376351
1730.0,0.0397399999999999,22.199379327111117,0.0,32.8801719556666,0.0,0.6813813824999999,0.0,0.0,0.04352,0.7833616919999999,0.0,0.0,0.4520563636363635,12.084392659999995,0.2013280168707164,66.91644670887716,0.0008526036363636,516.3992710866667,0.0,115.0806018448331,0.0,1.02207207375,0.0,0.0,0.0009337018181818,1.175042538,0.0,0.0,0.0060458581818181,18.126588989999995,0.0299978745137367,234.20756348107005
1740.0,0.0438199999999999,23.69128244666667,0.0,30.19712770593637,0.0,0.6652286550000001,0.0,0.0,0.04886,0.794084508,0.0,0.0,0.5553418181818179,14.060794879999998,0.2706215946783605,90.09024545215404,0.0009401381818181,534.530409606,0.0,105.68994697077731,0.0,0.9978429825,0.0,0.0,0.001048269090909,1.191126762,0.0,0.0,0.0073478109090909,21.091192319999998,0.0403226176070757,315.31585908253913
1750.0,0.0478999999999999,27.70492335822222,0.000108,27.733021680000004,0.0,0.6490759275,0.0,0.0,0.0542,0.804807324,0.0,0.0,0.6663072727272724,15.71656990142857,0.3637648085178711,121.28935000000013,0.0010276727272727,641.4827570213333,2.3112e-05,97.06557588,0.0,0.97361389125,0.0,0.0,0.0011628363636363,1.207210986,0.0,0.0,0.0087917636363636,23.574854852142856,0.0542009564691627,424.5127250000005
1760.0,0.05198,29.196826477777776,0.000216,30.67904679380989,0.0,0.6329232,0.0,0.0,0.05954,0.81553014,0.0,0.0,0.781112727272727,17.372344922857142,0.561708,136.68232504537346,0.0011152072727272,659.6138955406668,4.6224e-05,107.37666377833462,0.0,0.9493848,0.0,0.0,0.0012774036363636,1.22329521,0.0,0.0,0.0103067163636363,26.05851738428571,0.083694492,478.3881376588071
1770.0,0.0582399999999999,33.03586854133333,0.00054,33.938022442593734,0.0,0.6329232,0.0,0.0,0.06488,0.826252956,0.0,0.0,0.8998654987099222,19.02811994428571,0.689472,154.0288407828813,0.0012267418181818,760.416483532,0.00011556,118.78307854907808,0.0,0.9493848,0.0,0.0,0.0013919709090909,1.239379434,0.0,0.0,0.0119063569805864,28.54217991642856,0.102731328,539.1009427400845
1780.0,0.0726749999999999,34.52777166088889,0.001296,37.54319275481507,0.0,0.6329232,0.0,0.0,0.0702200000000001,0.836975772,0.0,0.0,1.016117710204879,20.67869496571428,0.85806,173.576823375242,0.0014282763636363,778.5476220513334,0.000277344,131.40117464185272,0.0,0.9493848,0.0,0.0,0.0015065381818181,1.255463658,0.0,0.0,0.0134523492205939,31.01804244857142,0.12785094,607.518881813347
1790.0,0.0871099999999999,43.057039740444445,0.00324,41.53133331823789,0.0,0.6329232,0.0,0.0,0.0755600000000001,0.847698588,0.0,0.0,1.1359936911913031,20.436378969642853,1.081296,195.60566358809123,0.0016298109090909,1044.5503930506668,0.00069336,145.3596666138326,0.0,0.9493848,0.0,0.0,0.0016211054545454,1.271547882,0.0,0.0,0.0150760877878729,30.654568454464275,0.161113104,684.6198225583194
1800.0,0.1015449999999999,44.54894286,0.010584,32.98932,0.0,0.6329231999999998,0.0,0.0,0.0809000000000001,0.8584214040000002,0.0,0.0,1.2608476784924612,20.21743697357142,1.550664,200.3911,0.0018313454545454,1062.68153157,0.0022649759999999,115.46262,0.0,0.9493847999999996,0.0,0.0,0.0017356727272727,1.2876321060000004,0.0,0.0,0.0168066272179043,30.32615546035713,0.2310489359999999,701.36885
1810.0,0.1159799999999999,39.67374105199999,0.017388,8.839945797513824,0.0,0.63819756,0.0,0.0,0.0862400000000001,1.3429027516769223,0.0,0.0,1.4307899999999991,26.38020652495286,2.019708,184.58730031430383,0.0020328799999999,1027.386286506,0.003721032,30.939810291298382,0.0,0.95729634,0.0,0.0,0.00185024,1.5330767675000003,0.0,0.0,0.0189133799999999,39.57030978742929,0.300936492,646.0555511000634
