Year,Air - Fossil-Fuel Combustion,Air - Gold and Silver Production,Air - Mercury Production and Use,Air - Other Metals Production,LW - Fossil-Fuel Combustion,LW - Gold and Silver Production,LW - Mercury Production and Use,LW - Other Metals Production
1700.0,0.0828952252580908,42.10650779300001,69.86819840000003,0.1971999999999998,0.0123513885634555,352.6505915615,244.53869440000005,0.0033199999999997
1710.0,0.1114263101542,26.445706093499997,75.90103235536631,0.3099054545454542,0.0166025202129758,409.91851870825,265.6536132437821,0.0048240545454544
1720.0,0.1497772948432654,29.89785870555556,85.50522191467117,0.4226109090909089,0.0223168169316465,430.9900314663334,299.26827670134907,0.0063281090909089
1730.0,0.2013280168707164,35.74851506161112,99.79661866454376,0.5353163636363634,0.0299978745137367,536.7229746884166,349.28816532590315,0.0078321636363635
1740.0,0.2706215946783605,39.21139048966667,120.2873731580904,0.6480218181818178,0.0403226176070757,557.8105716704999,421.00580605331646,0.009336218181818
1750.0,0.363872808517871,44.87537651115079,149.02237168000013,0.7684072727272723,0.0542240684691627,667.2384367507261,521.5783008800005,0.0109822727272726
1760.0,0.561924,48.01762474063492,167.3613718391833,0.892632727272727,0.0837407159999999,687.8450929349524,585.7648014371417,0.0126993272727271
1770.0,0.690012,53.52316464161903,187.96686322547504,1.022985498709922,0.102846888,791.1474276824287,657.8840212891625,0.0145250697078591
1780.0,0.859356,56.67636559860317,211.12001613005705,1.159012710204879,0.128128284,811.7705129579049,738.9200564551998,0.0163871637660483
1790.0,1.084536,64.9740404980873,237.13699690632916,1.2986636911913032,0.161806464,1077.425894187131,829.979489172152,0.0183270041515092
1800.0,1.561248,66.25772443757141,233.38042,1.4432926784924611,0.2333139119999998,1095.2447039363572,816.83147,0.0203736453997224
1810.0,2.037096,68.03504788862978,193.42724611181765,1.6330099999999992,0.304657524,1069.4469694009294,676.9953613913618,0.0227964999999998
1820.0,2.401812,62.56691860392078,172.87343178797775,2.1655850000000005,0.3599970479999999,754.8656125461205,605.0570112579222,0.0283429999999997
1830.0,4.130784,68.01908930600753,157.58691626670878,5.499347300000001,0.6210957959999999,693.7968944205002,551.5542069334807,0.0645012299999999
